rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:5enxwA8aAbwZbf5qCHORXi","Taylor Swift","All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",1,-1,1,"6673846"
2,"spotify:track:0gplL1WMoJ6iYaPgMCL0gX","Adele","Easy On Me","Columbia",1,1,30,"5746586"
3,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",1,2,127,"5597306"
4,"spotify:track:4OAuvHryIVv4kMDNSLuPt6","Taylor Swift","Red (Taylor's Version)","Taylor Swift",4,-1,1,"4967646"
5,"spotify:track:5Z9KJZvQzH6PFmb8SNkxuk","Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)","Columbia",2,3,113,"4930791"
6,"spotify:track:7sMBvZCSUl99bJLXZaLa0b","Bruno Mars, Anderson .Paak, Silk Sonic","Smokin Out The Window","Aftermath Entertainment/Atlantic",6,10,8,"4468749"
7,"spotify:track:1IBhYEvvi02tDVByxIiTh4","Taylor Swift","All Too Well (Taylor's Version)","Taylor Swift",7,-1,1,"4374870"
8,"spotify:track:7rglLriMNBPAyuJOMGwi39","Elton John, Dua Lipa, PNAU","Cold Heart - PNAU Remix","EMI",5,6,92,"4321887"
9,"spotify:track:6tNSmBKSjFV1366ASuULfZ","Taylor Swift","I Knew You Were Trouble (Taylor's Version)","Taylor Swift",9,-1,1,"4264232"
10,"spotify:track:50nfwKoDiSYg8zOCREWAm5","Ed Sheeran","Shivers","Atlantic Records UK",4,5,64,"4224469"
11,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",3,4,328,"4126079"
12,"spotify:track:5lFDIbYMcFHPPgzMcnPqSz","Taylor Swift","State Of Grace (Taylor's Version)","Taylor Swift",12,-1,1,"4058851"
13,"spotify:track:2T9WeqSMJJb8YBDHPYGU4p","Taylor Swift","22 (Taylor's Version)","Taylor Swift",13,-1,1,"3911785"
14,"spotify:track:7qM1BWAsZMTYh4BcYLb0uQ","Juice WRLD","Already Dead","Grade A Productions/Interscope Records",14,-1,1,"3704299"
15,"spotify:track:31CdkzHnMbvJuKZvtCQfR6","Taylor Swift","We Are Never Ever Getting Back Together (Taylor's Version)","Taylor Swift",15,-1,1,"3592681"
16,"spotify:track:2B4GHvToeLTOBB4QLzW3Ni","Farruko","Pepas","Sony Music Latin",3,8,124,"3587268"
17,"spotify:track:3rmo8F54jFF8OgYsqTxm5d","Ed Sheeran","Bad Habits","Atlantic Records UK",3,7,141,"3553740"
18,"spotify:track:0YrMTMLpLq1UIkWgghNM6c","Taylor Swift","Treacherous (Taylor's Version)","Taylor Swift",18,-1,1,"3512231"
19,"spotify:track:00Blm7zeNqgYLPtW6zg8cj","Post Malone, The Weeknd","One Right Now (with The Weeknd)","Republic Records",7,11,8,"3255340"
20,"spotify:track:01K4zKU104LyJ8gMb7227B","Taylor Swift, Phoebe Bridgers","Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault)","Taylor Swift",20,-1,1,"3136993"
21,"spotify:track:2r9CbjYgFhtAmcFv1cSquB","Taylor Swift","I Almost Do (Taylor's Version)","Taylor Swift",21,-1,1,"3117452"
22,"spotify:track:7hU3IHwjX150XLoTVmjD0q","LISA","MONEY","YG Entertainment",5,9,64,"3069342"
23,"spotify:track:4IQkfUsrwXol38VV3U7t7T","Taylor Swift, Ed Sheeran","Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault)","Taylor Swift",23,-1,1,"3004874"
24,"spotify:track:5uQQcvcXoCwKPK5sYvarzO","Taylor Swift, Ed Sheeran","Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version)","Taylor Swift",24,-1,1,"2988393"
25,"spotify:track:46HNZY1i7O6jwTA7Slo2PI","Coldplay, BTS","My Universe","Parlophone UK",3,12,50,"2967025"
26,"spotify:track:1ftFtW8S1621tu0MIQy0Sg","Taylor Swift","Stay Stay Stay (Taylor's Version)","Taylor Swift",26,-1,1,"2964136"
27,"spotify:track:6Uj1ctrBOjOas8xZXGqKk4","Doja Cat","Woman","Kemosabe Records/RCA Records",5,13,123,"2898557"
28,"spotify:track:1gWRnZ52AK1ZUvpjjTteKf","Taylor Swift","Better Man (Taylor's Version) (From The Vault)","Taylor Swift",28,-1,1,"2898283"
29,"spotify:track:0y6kdSRCVQhSsHSpWvTUm7","Taylor Swift, Gary Lightbody","The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version)","Taylor Swift",29,-1,1,"2820097"
30,"spotify:track:1LPSkqVhWVRUkKE03YUkpB","Bruno Mars, Anderson .Paak, Silk Sonic","Leave The Door Open","Aftermath Entertainment/Atlantic",4,52,253,"2720965"
31,"spotify:track:6dmXZ9B5HdFAyzHeTneYBK","ROSALÍA, The Weeknd","LA FAMA","Columbia",31,-1,1,"2708022"
32,"spotify:track:2Xr1dTzJee307rmrkt8c0g","CKay","love nwantiti (ah ah ah)","Chocolate City Music",9,14,61,"2695403"
33,"spotify:track:661CJWXysgwKXI1dreYNBU","Taylor Swift","Holy Ground (Taylor's Version)","Taylor Swift",33,-1,1,"2628699"
34,"spotify:track:4gvrJnKCKIPiacNsWVQwEU","CKay, Dj Yo!, AX'EL","love nwantiti (feat. Dj Yo! & AX'EL) - Remix","WM South Africa",13,15,59,"2592247"
35,"spotify:track:3z6XUommYDWPHeFhmhhT6j","Taylor Swift","Message In A Bottle (Taylor's Version) (From The Vault)","Taylor Swift",35,-1,1,"2561047"
36,"spotify:track:05GsNucq8Bngd9fnd4fRa0","Taylor Swift","Begin Again (Taylor's Version)","Taylor Swift",36,-1,1,"2558716"
37,"spotify:track:0v4z1tuZvn6LGknom9Qx7d","Taylor Swift","Babe (Taylor's Version) (From The Vault)","Taylor Swift",37,-1,1,"2511550"
38,"spotify:track:4CkgMiMqZ5JzW9iYXSTMTL","Taylor Swift, Chris Stapleton","I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault)","Taylor Swift",38,-1,1,"2506493"
39,"spotify:track:4ZtFanR9U6ndgddUvNcjcG","Olivia Rodrigo","good 4 u","Olivia Rodrigo PS",1,16,183,"2445558"
40,"spotify:track:2gpWyfu7eZ01zzncHpxOtA","Swedish House Mafia, The Weeknd","Moth To A Flame (with The Weeknd)","Republic Records",4,17,22,"2412890"
41,"spotify:track:4e5ayHsOLJNLTGfjau2mEw","Taylor Swift","The Lucky One (Taylor's Version)","Taylor Swift",41,-1,1,"2389222"
42,"spotify:track:0e8nrvls4Qqv5Rfa2UhqmO","Lil Nas X","THATS WHAT I WANT","Columbia",3,19,57,"2388903"
43,"spotify:track:21SralRv4ucDT3i1rYrr85","Taylor Swift","Sad Beautiful Tragic (Taylor's Version)","Taylor Swift",43,-1,1,"2382979"
44,"spotify:track:3Vi5XqYrmQgOYBajMWSvCi","Doja Cat","Need to Know","Kemosabe Records/RCA Records",6,18,155,"2375503"
45,"spotify:track:3Wrjm47oTz2sjIgck11l5e","Måneskin","Beggin'","RCA Records Label",1,21,165,"2345016"
46,"spotify:track:15HMh4yxdf4wyxSZSlOgGZ","Amaarae, Kali Uchis, Moliy","SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)","0207 Def Jam",27,27,12,"2313610"
47,"spotify:track:2bspOurPlpKv27SVt7UbHy","Taylor Swift","Starlight (Taylor's Version)","Taylor Swift",47,-1,1,"2303813"
48,"spotify:track:4pNApnaUWAL2J4KO2eqokq","Taylor Swift","Come Back...Be Here (Taylor's Version)","Taylor Swift",48,-1,1,"2282404"
49,"spotify:track:2gQPv5jvVPqU2a9HhMNO1v","BoyWithUke","Toxic","Republic Records",24,24,27,"2234443"
50,"spotify:track:3DarAbFujv6eYNliUTyqtz","Doja Cat, SZA","Kiss Me More (feat. SZA)","Kemosabe Records/RCA Records",2,22,218,"2232889"
51,"spotify:track:0NRHj8hDwwmSPaA41o379r","Taylor Swift","The Moment I Knew (Taylor's Version)","Taylor Swift",51,-1,1,"2222465"
52,"spotify:track:4RVwu0g32PAqgUiJoXsdF8","Billie Eilish","Happier Than Ever","Darkroom/Interscope Records",6,20,106,"2204104"
53,"spotify:track:1SC5rEoYDGUK4NfG82494W","Lil Nas X","MONTERO (Call Me By Your Name)","Columbia",1,23,232,"2192987"
54,"spotify:track:4gzsuuZypVbxs0Af1LSZyB","Tainy, Bad Bunny, Julieta Venegas","Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)","Neon16",7,25,39,"2161991"
55,"spotify:track:6pYNq0ZwpPVazKzsqpf0G8","Taylor Swift","The Very First Night (Taylor's Version) (From The Vault)","Taylor Swift",55,-1,1,"2132940"
56,"spotify:track:0EepXu0NfnnUX8efEZR167","Taylor Swift","Forever Winter (Taylor's Version) (From The Vault)","Taylor Swift",56,-1,1,"2126599"
57,"spotify:track:1r9xUipOqoNwggBpENDsvJ","Imagine Dragons, JID, Arcane, League of Legends","Enemy (with JID) - from the series Arcane League of Legends","KIDinaKORNER/Interscope Records",30,31,15,"2114958"
58,"spotify:track:4R67rQNSbbsR4TdUVOIdez","Travis Scott","ESCAPE PLAN","Cactus Jack/Epic",4,26,8,"2038266"
59,"spotify:track:0DMVrlMUn01M0IcpDbwgu7","Taylor Swift","Girl At Home (Taylor's Version)","Taylor Swift",59,-1,1,"2032127"
60,"spotify:track:0eu4C55hL6x29mmeAjytzC","Oliver Tree","Life Goes On","Atlantic Records",14,28,72,"2030333"
61,"spotify:track:3uUuGVFu1V7jTQL60S1r8z","Lost Frequencies, Calum Scott","Where Are You Now","Epic Amsterdam",26,35,78,"2014735"
62,"spotify:track:2JPLbjOn0wPCngEot2STUS","Bad Bunny","Yonaguni","Rimas Entertainment LLC",3,29,162,"2013666"
63,"spotify:track:21afd9hCjpQ6lE5DPbcPHP","Bruno Mars, Anderson .Paak, Silk Sonic","Blast Off","Aftermath Entertainment/Atlantic",63,-1,1,"1979632"
64,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",1,30,715,"1958528"
65,"spotify:track:6RfhBNU1FPWTG7VESlfgOl","Polo G","Bad Man (Smooth Criminal)","Columbia",65,-1,1,"1914013"
66,"spotify:track:7HEWQj82REyDOKMAAlB9pc","Bruno Mars, Anderson .Paak, Silk Sonic","Fly As Me","Aftermath Entertainment/Atlantic",66,-1,1,"1907731"
67,"spotify:track:07MDkzWARZaLEdKxo6yArG","THE ANXIETY, WILLOW, Tyler Cole","Meet Me At Our Spot","MSFTSMusic / Roc Nation Records, LLC",23,32,74,"1867044"
68,"spotify:track:6I3mqTwhRpn34SLVafSH7G","Justin Bieber","Ghost","RBMG/Def Jam",28,34,54,"1864234"
69,"spotify:track:20on25jryn53hWghthWWW3","ACRAZE, Cherish","Do It To It","Thrive Music, LLC",50,50,14,"1850621"
70,"spotify:track:0WE0h1qUWJBt97DtvuMWRN","Taylor Swift","Ronan (Taylor's Version)","Taylor Swift",70,-1,1,"1837652"
71,"spotify:track:7ozvuHnA1zWzuTvReLChVL","Bruno Mars, Anderson .Paak, Silk Sonic, Thundercat, Bootsy Collins","After Last Night (with Thundercat & Bootsy Collins)","Aftermath Entertainment/Atlantic",71,-1,1,"1833698"
72,"spotify:track:6f5ExP43esnvdKPddwKXJH","NEIKED, Mae Muller, Polo G","Better Days (NEIKED x Mae Muller x Polo G)","Capitol Records UK / EMI",29,37,26,"1811639"
73,"spotify:track:3CiOGu8nBPGfrJr4whAOZX","Taylor Swift","State Of Grace (Acoustic Version) (Taylor's Version)","Taylor Swift",73,-1,1,"1793104"
74,"spotify:track:71l8BEtJPXXlWbV6hhTHWK","Bruno Mars, Anderson .Paak, Silk Sonic","Skate","Aftermath Entertainment/Atlantic",31,-1,31,"1767099"
75,"spotify:track:2vmfvSoZBFAt9hhRoEByLi","Aventura, Bad Bunny","Volví","Rimas Entertainment LLC",7,39,102,"1753554"
76,"spotify:track:4btFHqumCO31GksfuBLLv3","Ed Sheeran","Overpass Graffiti","Atlantic Records UK",10,33,15,"1732704"
77,"spotify:track:5CZ40GBx1sQ9agT82CLQCT","Olivia Rodrigo","traitor","Olivia Rodrigo PS",7,36,176,"1730033"
78,"spotify:track:5RwV8BvLfX5injfqYodke9","Rauw Alejandro","Todo De Ti","Sony Music Latin/Duars Entertainment",2,40,176,"1718195"
79,"spotify:track:5nujrmhLynf4yMoMtj8AQF","Dua Lipa, DaBaby","Levitating (feat. DaBaby)","Warner Records",4,38,407,"1710757"
80,"spotify:track:0k1WUmIRnG3xU6fvvDVfRG","Drake, Future, Young Thug","Way 2 Sexy (with Future & Young Thug)","OVO",4,41,71,"1636284"
81,"spotify:track:2BcMwX1MPV6ZHP4tUT9uq6","Drake, 21 Savage, Project Pat","Knife Talk (with 21 Savage ft. Project Pat)","OVO",11,44,71,"1635702"
82,"spotify:track:5U4laaEEChW8FOtZXCu8C7","Bruno Mars, Anderson .Paak, Silk Sonic","Put On A Smile","Aftermath Entertainment/Atlantic",82,-1,1,"1628288"
83,"spotify:track:2BEcap3xJtmiPaHKyfQi4e","Rvssian, Rauw Alejandro, Chris Brown","Nostálgico","Sony Music Latin",37,46,65,"1625963"
84,"spotify:track:4SqWKzw0CbA05TGszDgMlc","The Walters","I Love You So","Warner Records",39,43,33,"1601185"
85,"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","The Neighbourhood","Sweater Weather","Columbia",33,42,445,"1589540"
86,"spotify:track:4iJyoBOLtHqaGxP12qzhQI","Justin Bieber, Daniel Caesar, Giveon","Peaches (feat. Daniel Caesar & Giveon)","RBMG/Def Jam",1,45,239,"1544937"
87,"spotify:track:4zm8xZiV5FxJu62EHEvZaT","Bruno Mars, Anderson .Paak, Silk Sonic","777","Aftermath Entertainment/Atlantic",87,-1,1,"1531461"
88,"spotify:track:37BZB0z9T8Xu7U3e65qxFy","The Weeknd, Ariana Grande","Save Your Tears (with Ariana Grande) (Remix)","Republic Records",3,47,204,"1518979"
89,"spotify:track:5joiME4fAdb6FqrsXOs3u9","Bruno Mars, Anderson .Paak, Silk Sonic","Silk Sonic Intro","Aftermath Entertainment/Atlantic",89,-1,1,"1516394"
90,"spotify:track:0WSEq9Ko4kFPt8yo3ICd6T","Kanye West","Praise God","Rock The World/IDJ/Kanye LP7",7,48,56,"1485493"
91,"spotify:track:0bI7K9Becu2dtXK1Q3cZNB","Tiësto, KAROL G","Don't Be Shy","Atlantic Records",37,51,92,"1463812"
